2018-05-06 13:13:13.707  - INFO: ErizoController - message: succesfully added to cloudHandler
2018-05-06 13:13:23.610  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:28.612  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:33.612  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:38.614  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:43.615  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:48.616  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:53.616  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:13:58.617  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:03.618  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:08.620  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:13.621  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:18.622  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:23.624  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:28.624  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:33.625  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:38.627  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:43.627  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:48.629  - WARN: EcCloudHandler - message: no agents available, code: 503
2018-05-06 13:14:53.630  - WARN: EcCloudHandler - message: no agents available, code: 503
